Rating,Review_title,Review_comment
3,Good location but poor service!,"The location was amazing. Specifically, the wine bar was great.
They didn’t have towels in the bathroom. We literally had to beg them for it. When i called the reception downstairs, they actually asked whether we have taken it or misplaced the towels. I had to go down to the reception 4 times to ask for towels and bathrobe again and again. They kept saying they’ll send it right away every time which was so frustrating. They finally brought it to our room almost 6hrs later which was very frustrating."
10,Exceptional,The staff was very friendly and the lakeview was amazing. The food in the Restaurant was really good.
10,Exceptional,"We enjoyed our stay in Haile Resort in Hawassa very much. The views over the lake where so nice at sunset. We enjoyed the birdlife. The boat trip from the hotel was very nice, we saw hippo's. The food is great and staff is super friendly. Really recommand this hotel
The door key did not always work apparently it is sensetive to telephone calls."
3,Poor,Everything was great. Bad Internet connection
10,Exceptional,"Everything was amazing ,the location,the resort itself,the staff was so helpful Specially mergert ,
They even organized a special event for my wife because she passed an exam.
No thing.every thing is perfect"
10,Exceptional,"The suite was confortable. There are lots of activities, and the food was delicious.
Maybe the city around this hotel, but I didn't visit it enough. Be careful if you want to visit shashamene (25km from there)"
7,Good,Good
3,Poor,Poor
7,Good,Good
9,Superb,Superb
9,Superb,Superb
7,Good,Good
8,Very good,Very good
8,Very good,Very good
9,Superb,Superb
8,Very good,Very good
8,Very good,Very good
9,Superb,Superb
8,Very good,Very good
7,Good,Good
9,Superb,Superb
8,Very good,Very good
9,Superb,Superb
7,Good,Good
8,Very good,Very good
9,Superb,Superb
7,Good,Good
8,Very good,Very good
8,Very good,Very good
7,Good,Good
8,Very good,Very good
9,Superb,Superb
9,Superb,Superb
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Best trip
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
2,Very poor,Very poor
10,Exceptional,Exceptional
6,Pleasant,Pleasant
5,Passable,Passable
10,Exceptional,Exceptional
5,Passable,Passable
10,Exceptional,Exceptional
10,Exceptional,Exceptional
8,Very good,Very good
8,Very good,Very good
9,Superb,Superb
9,Superb,Superb
8,Very good,Very good
1,Bad,Bad
1,Bad,Bad
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
10,Exceptional,Exceptional
